Food Code,Food Name (minerals indian.csv),Food Category,Energy,Carbs,Fat,Protein,Fat value,Alpha Lino-lenic,Arachidic,Arginine,Behenic,Calcium,Carotene(µg),Chlorine,Choline-(mg),Chromium,Copper,Cystine,Folicacid(mg),Folicfree(mg),Histidine,IDF(g),Iron,Isole-ucine,Leucine,Ligno-ceric,Linoleic,Lysine,Magn-esium,Mang-anese,Methi-onine,Molyb-denum,Niacin(mg),Number of Records,Oleic,Palmi-toleic,Palmitic,Phenyl-alanine,Phosp-horus,Potassium,Riboflavin(mg),SDF(g),Sodium,Stearic,Sulphur,TDF(g),Thiamine(mg),Thre-onine,Total Mono Unsa-turates,Total N,Total Poly Unsaturates,Total Satur-ates,Trypt-ophan,Tyrosine,Valine,Vitamin-C(mg),Zinc
60,BEET GREENS,,46,6.5,,3.4,0.8,,,180,,380,5862,0,0,0,0,60,0,0,90,,16.2,180,300,,,210,0,0,50,0,3.3,1,,,,190,30,0,0.6,,0,,0,,0.3,200,,0.54,,,60,150,210,70,0
,BENGAL GRAM LEAVES,,,14.1,,,,,,,,340,,0,,0,0,,,,,,23.8,,,,,,0,0,,0,,1,,,,,120,0,,,0,,0,,,,,,,,,,,,0
,BETEL LEAVES,,,6.1,,,,,,,,230,,0,,0.1,2.3,,,,,,10.6,,,,,,447,4.5,,0,,1,,,,,40,0,,,0,,0,,,,,,,,,,,,3.4
63,BOTTLE GOURD LEAVES,,39,6.1,,2.3,0.7,,,280,,80,0,0,0,0,0,70,0,0,140,,0,260,410,,,300,0,0,90,0,0,1,,,,310,59,0,0,,0,,0,,0,220,,0.37,,,0,0,40,0,0
,BROAD BEAN LEAVES,,,11.5,,,,,,,,111,,0,,0,0,,,,,,0,,,,,,0,0,,0,,1,,,,,149,0,,,0,,0,,,,,,,,,,,,0
65,BRUSSELS SPROUTS,,52,7.1,,4.7,0.5,,,390,,43,126,22,0,0,0.1,40,0,0,140,,1.8,310,340,,,340,26,0,60,0,0.4,1,,,,230,82,477,0.2,,7.9,,212,,0.1,270,,0.75,,,80,0,300,72,0
66,CABBAGE,leafy_vegetables,27,4.6,,1.8,0.1,,,450,,39,120,0,120,0,0,7,23,13.3,130,2,0.8,230,340,,,240,31,0.2,60,0.1,0.4,1,,,,200,44,0,0.1,0.8,0,,0,2.8,0.1,220,,0.29,,,70,120,260,124,0.3
67,CARROT LEAVES,,77,13.1,,5.1,0.5,,,270,,340,5700,0,0,0,0,0,0,0,120,,8.8,280,440,,,280,0,0,110,0,2.1,1,,,,410,110,0,0.4,,0,,0,,0,280,,0.82,,,90,0,340,79,0
,CAULIFLOWER LEAVES,,,7.6,,,,,,,,626,,0,,0,0,,,,,,40,,,,,,0,0,,0,,1,,,,,107,0,,,0,,0,,,,,,,,,,,,0
69,CELERY LEAVES,,37,1.6,,6.3,0.6,,,250,,230,3990,19,0,0,0.3,0,0,0,90,,6.3,240,430,,,150,52,0,140,0,1.2,1,,,,280,140,210,0.1,,35.5,,102,,0,210,,0.13,,,80,0,300,62,0
,CELERY STALK,,,3.5,,,,,,,,30,,0,,0,0,,,,,,4.8,,,,,,0,0,,0,,1,,,,,38,0,,,0,,0,,,,,,,,,,,,0
,CHEKKUR MANIS,,,11.6,,,,,,,,570,,0,,0,0,,,,,,28,,,,,,0,0,,0,,1,,,,,200,0,,,0,,0,,,,,,,,,,,,0
72,COLOCASIA LEAVES (black variety),,77,8.1,,6.8,2,,,250,,460,12000,72,0,0,0.2,0,0,0,130,,0.98,310,360,,,260,32,0,60,0,1.9,1,,,,180,125,0,0.5,,0,,0,,0.1,150,,1.09,,,40,0,280,63,0
,COLOCASIA LEAVES (green variety),,,6.8,,,,,,,,227,,0,,0,0,,,,,,10,,,,,,0,0,,0,,1,,,,,82,0,,,0,,0,,,,,,,,,,,,0
,COLACASIA LEAVES (dried),,,42.3,,,,,,,,1546,,0,,0,0,,,,,,0,,,,,,0,0,,0,,1,,,,,308,0,,,0,,0,,,,,,,,,,,,0
,CORIANDER LEAVES,,,6.3,,,,,,,,184,,43,,0,0.1,,,,,,1.42,,,,,,31,0.5,,1.1,,1,,,,,71,256,,,58.3,,49,,,,,,,,,,,,0.3
,COW PEA LEAVES,,,4.1,,,,,,,,290,,0,,0,0,,,,,,20.1,,,,,,0,0,,0,,1,,,,,58,0,,,0,,0,,,,,,,,,,,,0
,CURRY LEAVES,,,18.7,,,,,,,,830,,198,,0,0.1,,,,,,0.93,,,,,,44,0.2,,0,,1,,,,,57,0,,,0,,81,,,,,,,,,,,,0.2
78,DRUMSTICK LEAVES,leafy_vegetables,92,12.5,,6.7,1.7,,,380,,440,6780,423,0,0,0.1,130,0,0,140,6.8,0.85,280,460,,,320,42,0.4,110,0,0.8,1,,,,290,70,259,0.1,2.2,0,,137,9,0.1,250,,1.07,,,100,0,350,220,0.2
