Food Name,Magn-esium,Sodium,Potassium,Copper,Mang-anese,Molyb-denum,Zinc,Chromium,Sulphur,Chlorine,Calcium,Phosp-horus,Iron,Carbs
LADIES FINGERS,53,6.9,103,0.1,0.2,0,0.4,0,30,41,66,56,0.35,6.4
"LAKUCH, raw",0,0,0,0,0,0,0,0,0,0,67,25,0,13.9
LEEKS,0,0,0,0,0,0,0,0,0,0,50,70,2.3,17.2
"LOTUS STEM, dry",168,438,3007,1.2,0,0,0,0,258,444,405,128,60.6,51.4
MANGO GREEN,16,43,83,0,0.1,0,0.1,0.1,15,2,10,19,0.33,10.1
ONION STALKS,104,2.2,109,0.5,0.7,0,2.3,0,33,7,50,50,7.43,8.9
PAPAYA GREEN,0,23,216,0,0,0,0,0,0,0,28,40,0.9,5.7
PARWAR,9,2.6,83,1.1,0,0,0,0,17,4,30,40,1.7,2.2
PINK BEANS,0,32.2,117,0.1,0,0,0,0,182,47,54,70,1.5,7
PLANTAIN FLOWER,54,20.1,185,0.1,0,0,0,0,68,68,32,42,1.6,5.1
"PLANTAIN, green",13,15,193,0,0.3,0,0.1,0,15,6,10,29,6.27,14
"PLANTAIN, stem",0,0,0,0,0,0,0,0,0,0,10,10,1.1,9.7
PUMPKIN,38,5.6,139,0.1,0.1,0,0.3,0,16,4,10,30,0.44,4.6
PUMPKIN flowers,0,0,0,0,0,0,0,0,0,0,120,60,0,5.8
RIDGE GOURD,32,2.9,50,0.1,0.1,0,0.4,0,14,7,18,26,0.39,3.4
SNAKE GOURD,28,25.4,34,0.3,0.1,0,0.3,0,35,21,26,20,1.51,3.3
"SUNDAKAI, dry",0,0,0,0,0,0,0,0,0,0,390,180,22.2,55
SWORD BEANS,0,29,1800,0,0,0,0,0,0,0,60,40,2,7.8
"TINDA, tender",14,35,24,0.1,0,0,0,0,0,44,25,24,0.9,3.4
"TOMOTO, green",15,45.8,114,0.2,0,0,0,0,24,38,20,36,1.8,3.6
VEGETABLE MARROW,13,27.3,94,0.2,0,0,0,0,11,9,10,30,0.6,3.5
"WATER CHEST NUT, fresh",72,0,0,1.3,0.9,0,1.6,0,0,0,20,150,1.35,23.3
"WATER CHESTNUT, dry",0,0,0,0,0,0,0,0,0,0,70,440,2.4,68.9
ALMOND,373,0,0,1,1.9,0,3.6,0.2,0,0,230,490,5.09,10.5
ARECANUT,74.5,0,0,1.7,2.2,0,0.8,0.4,0,0,50,130,1.5,47.2
AVOCADOPEAR (nut),0,0,0,0,0,0,0,0,0,0,20,80,1.2,32
CASHEWNUT,349,0,0,1.7,1.4,0,6,0.2,0,0,50,450,5.81,22.3
CHILGOZA,0,0,0,0,0,0,0,0,0,0,91,494,3.6,29
"COCONUT,dry",0,0,0,1,6.2,0,5,0,0,0,400,210,7.8,18.4
"COCONUT, fresh",0,0,0,0,0,0,0,0,0,0,10,240,1.7,13
COCONUT tender,0,0,0,0,0,0,0,0,0,0,10,30,0.9,6.3
"COCONUT, milk",0,0,0,0,0,0,0,0,0,0,15,140,1.6,11.9
"COCONUT, water",0,0,0,0,0,0,0,0,0,0,24,10,0.1,4.4
"COCONUT, meal deoiled",355,72.5,2003,0,0,0,0,0,431,374,112,646,69.4,47.9
GARDEN CRESS SEEDS,430,0,0,0,0,0,0,0,1,41,377,723,100,33
GINGELLY SEEDS,0,0,0,2.3,1.3,0.2,12.2,0.1,0,0,1450,570,9.3,25
GROUNDNUT,0,0,0,0.9,1.1,0.2,3.9,0,0,0,90,350,2.5,26.1
"GROUNDNUT, roasted",0,0,0,0,0,0,0,0,0,0,77,370,3.1,26.7
GROUNDNUT CAKE,0,0,0,0,0,0,0,0,0,0,213,548,0,38.8
LINSEED,0,0,0,0,0,0,0,0,0,0,170,370,2.7,28.9
MUSTARD SEEDS,0,0,0,0.8,2.6,0.1,4.8,0.1,0,0,490,700,7.9,23.8
NIGER SEEDS,0,0,0,0,0,0,0,0,0,0,300,224,56.7,17.1
PISTACHIONUT,0,0,0,0,0,0,0,0,0,0,140,430,7.7,16.2
PIYAL SEEDS,373,10.2,436,0.9,0,0,0,0,186,25,279,528,8.5,12.1
SAFFLOWER SEEDS,0,0,0,1.6,1.1,0.1,5.2,0,0,0,236,823,4.6,17.9
SUNFLOWER SEEDS,0,0,0,0,0,0,0,0,0,0,280,670,5,17.9
WALNUT,302,0,0,1.7,2.6,0,2.3,0.1,0,0,100,380,2.64,11
